"","sparsity","log2_mean"
"g__Bacteroides",5.2,20.2
"g__Parabacteroides",19.8,13.9
"g__Faecalibacterium",9.3,15.8
"g__Alistipes",27.7,11.6
"g__Ruminococcus",34.6,8.7
"g__Dorea",20.6,10
"g__Oscillibacter",53.7,5.6
"g__Flavonifractor",16,11.5
"g__Odoribacter",47.6,7.4
"g__Blautia",5.1,12.8
"g__Ruminococcaceae_unclassified",37.5,7.7
"g__Eubacterium",11.3,12.7
"g__Coprococcus",45,6.5
"g__Fusicatenibacter",28.5,9.4
"g__Phascolarctobacterium",59.6,4.8
"g__Lachnoclostridium",36.9,8
"g__Escherichia",55.9,5.7
"g__Clostridium",28.8,8.5
"g__Gemmiger",74.5,1.8
"g__Firmicutes_unclassified",41.1,6.7
"g__Bilophila",63,3.5
"g__Roseburia",9.8,14.7
"g__Lachnospira",67.3,4
"g__Lachnospiraceae_unclassified",22.2,11.7
"g__Parasutterella",48.2,6.2
"g__Barnesiella",69.4,4.1
"g__Anaerostipes",24.7,9.4
"g__Proteobacteria_unclassified",59.4,4.1
"g__Collinsella",42.3,6.1
"g__Agathobaculum",52.2,4.5
"g__Bifidobacterium",31.7,8.3
"g__Turicimonas",68,2.6
"g__Dialister",54.8,4.6
"g__Erysipelatoclostridium",73.2,2.3
"g__Ruthenibacterium",44.6,6
"g__Intestinimonas",72.6,2.3
"g__Eisenbergiella",64.9,3.8
"g__Veillonella",58.9,4.5
"g__Haemophilus",62.1,3.5
"g__Akkermansia",71.5,3.3
"g__Lawsonibacter",61,3.7
"g__Streptococcus",64,3.2
"g__Prevotella",66.5,4.6
"44",4.2,13.8
