"","est","padj"
"g__Bacteroides",-0.142292234260762,0.965759269808236
"g__Parabacteroides",-2.59182350569177,0.534518745305624
"g__Faecalibacterium",-6.86772003570175,7.10155572850873e-08
"g__Alistipes",-5.20411732574897,0.057454626373893
"g__Ruminococcus",-4.49814305934469,0.067706113208668
"g__Dorea",-2.62059919435111,0.189306489651173
"g__Oscillibacter",-4.3715181944004,0.113063993509362
"g__Flavonifractor",2.47150317871592,0.34277443975042
"g__Odoribacter",-0.95680779723327,0.959284584642283
"g__Blautia",2.64864180093655,0.0314829101508108
"g__Ruminococcaceae_unclassified",-4.21487937819143,0.0926412710009223
"g__Eubacterium",-4.30737362124283,0.00228786403307915
"g__Coprococcus",-1.95362385994657,0.726441434808184
"g__Fusicatenibacter",-2.97906847962298,0.236878988638849
"g__Phascolarctobacterium",-0.518688525190355,0.977637871761331
"g__Lachnoclostridium",8.1323606745523,3.81923335803715e-05
"g__Escherichia",10.1558786124469,5.26453393657237e-07
"g__Clostridium",2.10785246456935,0.591941178570414
"g__Gemmiger",-0.659504024625805,0.905093468485522
"g__Firmicutes_unclassified",-3.98856989056154,0.0786027734121122
"g__Bilophila",0.400955156311594,0.979728321106702
"g__Roseburia",-2.29343755414187,0.288140151163508
"g__Lachnospira",-1.1578987070212,0.913567102620375
"g__Lachnospiraceae_unclassified",-4.17191410650963,0.0824848511291801
"g__Parasutterella",-0.0448806954229364,0.991973121836286
"g__Barnesiella",-0.158711215865079,0.990492621579267
"g__Anaerostipes",-1.1064796010605,0.858822206256031
"g__Proteobacteria_unclassified",1.83287411009825,0.775091603257978
"g__Collinsella",0.486046194445256,0.983782233376755
"g__Agathobaculum",-0.873639272929094,0.874113553716652
"g__Bifidobacterium",2.04772367277344,0.665883553668544
"g__Turicimonas",1.65755988906813,0.706751639405673
"g__Dialister",2.46962934283024,0.52306129827968
"g__Erysipelatoclostridium",7.73131204049538,1.25184986266732e-06
"g__Ruthenibacterium",-1.29775371925215,0.821805766092099
"g__Intestinimonas",-0.00794986735680622,0.978361879664313
"g__Eisenbergiella",1.16369212960583,0.886871298782618
"g__Veillonella",4.31793502654343,0.0826422951370917
"g__Haemophilus",4.0831351322794,0.0377836172570166
"g__Akkermansia",-1.06308374638067,0.914206369647922
"g__Lawsonibacter",-0.25201321016193,0.972507153506915
"g__Streptococcus",5.23311331728048,0.0021919740114454
"g__Prevotella",2.1636391888234,0.840860509790793
"44",4.43319122534185,0.000134103041958997
