growth,cephalosporins,glycopeptide_antibiotics,lincomycin_derivatives,macrolide_derivatives,metronidazole,oxazolidinone_antibiotics,penicillins,quinolones,sulfonamides,tetracyclines
-0.0981643651010429,0.00452015002786888,0.0280688918499741,-0.00245474887708437,-0.00332926495793096,-0.000997208097974002,-0.00262024613234194,0.0156250345251647,-0.0203069662871167,0.00551793953970994,0.000799206954801179
-0.00592858939313741,-2.6386379607473e-05,0.00217340524949692,-0.000191978679145131,0.00223016860405797,0.000131927115345421,0,-0.00022508490851586,-0.00185702262574593,-0.000267317355553439,0
-0.190900619932723,0.0200157141916101,0.0529257024348128,NaN,-0.0192516898359965,-0.0177676725447771,0.000878099194953241,0.0253411070631664,-0.00239708319397598,0.0599373377622015,0
-0.161729328022765,0.0208674761545663,0.00947017334405119,-0.00448525175288746,0.00262341494119648,-0.0162503591824729,-0.00413790414349635,0.00507834454372645,-0.00573319841890917,0.0850486862613169,0.00159174853619044
-0.171956232896884,NaN,0.114064443509897,-0.00705128929226557,0.0174483334348007,-0.0350345109025009,-0.0131873942434932,0.056072757794006,-0.0438080300644853,0.0549405559535662,NaN
-0.105041090167262,0.0109792721438407,-0.0760198030653194,NaN,0.0103012684193982,-0.0111457715441785,NaN,0.00341921982341195,0.000148749407870217,-0.00257605959961557,NaN
-0.248399133592664,0.0686715359260061,-0.118939934723139,NaN,-0.00812726614955595,-0.15924193645285,0.0112439777365417,-0.0711207442973919,0.00590877793659457,0.0215319181753738,NaN
-0.173621238721644,0.0234140023609536,0.0759744801618269,NaN,0.0193354872328356,-0.00739448075359394,0.00486016881974567,0.024538334402,-0.0258994108136737,0.0086737734333856,NaN
-0.13079207384015,0.020574410441375,0.0383534416606212,NaN,-0.00131461601670026,-0.0139627012245852,0.000168403042442655,-0.00835643406848197,0.017657215899908,0.0849005736666729,NaN
-0.0191063465499207,0.00576196610405594,0.0146160647323219,-0.00237156906559116,0.00337275677107625,-8.21367148137876e-05,-0.00223098233109513,-0.000475680517103728,-0.00293837107151556,0.0127751851039125,0.000548091818127295
-0.0707919619920655,0.0235877065474249,-0.0858928244737977,NaN,-0.000722496787646461,-0.0200267202104319,NaN,0.0129104542656017,-0.0195050481128512,0.0423038356646136,NaN
-0.348764758965263,0.0355972365536053,0.0831283159910833,NaN,0.111701153957709,0.0428281869932273,NaN,0.00563546365851042,-0.192313463533593,0.0244383006923564,NaN
-0.0942389205740175,0.0272971974308866,0.0627783380558753,NaN,-0.0175350905545043,0,NaN,0.012892876987567,-0.0232431167320157,0.0334717159361951,5.16126705771891e-05
-0.192573470540925,NaN,0.00186824461261793,NaN,0.000976161377302337,0.0285974833328439,NaN,0.00629930740379882,0.0469189041761652,0.147680889096376,NaN
-0.00126166299141896,0,8.87877548328007e-05,NaN,0.000313645162076419,-0.000434793910791433,0,-3.25518167800465e-05,-0.000252330868044909,0,0
-0.129474048042913,NaN,0.0201692158589942,NaN,-0.00098786978941969,0.00677511732144089,0.00317949112898728,0.0332133751059018,0.0447444530799204,0.117647126028881,NaN
-0.146243927477918,0.00126643098261208,-0.0720206662478932,NaN,0.0311280720327897,-0.02941291268249,NaN,-0.0102274518979022,-0.0321225842292514,0.0840988394791484,NaN
-0.17481703918266,NaN,0.0442784564581195,NaN,0.0220568513814417,0.0050450972082632,0.000887683787616205,0.0285871790541286,0.0069310443015121,-0.0287672276911297,0.00173829415701771
-0.147022135618142,NaN,0.0142708420997526,NaN,NaN,-0.003305761685072,NaN,0.0190928933955709,-0.0122794059317316,0.122294786073573,NaN
-0.151608827418992,0.0235823659779875,0.0145602262953953,NaN,-0.00618345822370606,0.000110099882694522,0.00079412019433749,0.0143663329375981,0.00386346531924699,-0.0173994190820458,0.00102766350015698
